Date,Stock Splits
1980-04-16,5:4
1981-04-07,5:4
1982-04-13,5:4
1983-04-05,3:2
1984-04-17,4:3
1986-04-15,4:3
1995-01-05,3:2
1996-01-04,3:2
1997-01-07,4:3
2000-03-16,2:1
