Date,Stock Splits
1989-01-05,105:100
1989-12-29,105:100
1991-01-25,105:100
1992-01-27,105:100
1994-01-10,105:100
1995-01-10,105:100
1996-01-16,105:100
1997-01-08,105:100
1998-01-22,105:100
1999-03-03,105:100
2000-01-03,105:100
2000-12-29,105:100
2002-01-04,105:100
2003-01-13,105:100
2003-12-31,105:100
2005-01-19,105:100
2006-01-18,105:100
2007-01-17,105:100
2008-01-16,105:100
2009-01-14,105:100
2010-01-13,105:100
2011-01-12,105:100
2012-01-11,105:100
2013-01-09,105:100
2014-01-15,21:20
2015-01-14,105:100
2018-01-11,105:100
2019-01-10,105:100
2021-07-08,105:100
2022-06-30,105:100
2023-07-06,105:100
