Date,Stock Splits
1985-03-19,3:2
1986-07-21,3:2
1991-03-01,3:2
1992-07-06,3:2
1993-05-03,3:2
1995-07-03,3:2
1996-10-22,3:2
2006-08-01,100:16
2006-09-05,1:10
