Date,Stock Splits
1999-10-04,3:1
2006-05-02,2:1
2008-10-08,101:100
2009-01-07,101:100
2009-04-07,101:100
2009-07-08,101:100
2009-10-07,101:100
2010-01-06,101:100
2010-04-07,101:100
2010-10-06,101:100
2011-01-06,101:100
2011-10-12,101:100
2012-01-11,101:100
2012-04-11,101:100
2012-07-11,101:100
2012-10-10,101:100
2013-01-09,101:100
2013-04-10,101:100
2013-07-10,101:100
2013-10-09,101:100
2014-01-08,101:100
2014-04-09,101:100
2014-07-09,101:100
2014-10-08,101:100
2016-10-05,101:100
2017-04-05,101:100
